,2201,2089,,0.949114039,,,
,,329,,,,2306,0.523971825
,,,,,,,
Original Tag,Senti score,Original text,Senti words,,,,
,,,,,,,
Positive,Positive,"we purchased this game about a year ago and all the kids here enjoy playing it ... ages 3 through 10.  it's challenging enough for the older kids to catch the falling butterflies and easy enough for the little ones to gather them up off the floor.  we've had great times with this game and it's quick enough that those with short attention spans can finish the game without upsetting the rest who still want to play.  i've found that the batteries even last quite a while in this one, which is unusual for games of this nature.  the only trouble that i've found with this game is; sometimes the butterflies come out in larger groups rather than a couple at a time.",game year ago enjoy enough older catch falling easy enough little gather floor weve great game quick enough short attention finish game without rest still play last unusual games nature trouble game larger couple time,,,,
,,,,,,,
Positive,Positive,this game is so much fun!  my twin 4yr. old boys just received it for their birthday and it has brought hours of fun to our home.  it promotes great hand-eye coordination and gets them to play together and share!  lots of team work going on here -- they work to pick up all the butterflies after the game is over and put the elephant trunk back in place!  there's so much competition to see who can catch the most butterflies but there's no fighting or arguing!  what a pleasure.the game does go by quick but i think that's great especially when you factor in the attention span of two 4 year olds.  they really need for things to keep moving.  there's no sitting idle with this game.  you've got to be quick on your feet to play!the durability isn't bad but not great either.  you've got to be careful with the nets as to not be too rough and break them.  the elephants trunk needs to be treated with care so that it doesn't get kinked or torn -- i think it could be a bit shorter as well. i do wish that there were more butterflies because it seems as though they'd have even more fun if it didn't go by so quickly.  it really doesn't take long for all the butterflies to come up through the trunk and then it's over.  back to the beginning!i do give this game a 4 star rating just because it is so much fun to watch them play together and get so excited to count how many butterflies each of them have caught at the end of the game!!!,game much fun twin old boys received birthday hours fun home great coordination play together share team work going work pick game put elephant trunk back place much competition see catch arguing game go quick think great attention span two year really need keep moving idle game quick durability bad great careful rough break trunk treated get torn think bit shorter well wish fun go quickly really long trunk back give game star rating much fun watch play together get excited count many game,,,,
,,,,,,,
Positive,Positive,"my three year old son saw this advertised and asked for it as a present - the only time he has ever done this for any game or toy.the game comes with:* large blue elephant fan base and translucent plastic trunk* thirty rip-stop nylon butterflies* several butterfly markers for keeping score* four mesh nets for catching butterfliesthe unit requires 4 ""c"" batteries (not included.)when powered on, a quiet fan in the elephant base pushes air up the elephant's trunk forcing the butterflies out. players try to catch the butterflies in their nets. our family has played this game and enjoyed it. catching the randomly fluttering butterflies is an excellent eye-hand coordination activity. and even though the game is geared for younger kids, there is enough of a challenge that all ages can play and enjoy it. (one of the nicest things about the game is that it really does not matter who wins, the game play is fun enough in itself. we don't even keep score and no one minds.)elefun is not without its issues, though:1. plays quickly, but then it takes considerably more time to get it ready for the next round of play than it takes to actually play.2. the trunk has to be extended manually even with the fan on at the beginning of play. once fully extended, it will stay up.3. eats batteries like mad. the fan works best with fresh batteries and the quality of play goes down quickly (not all the butterflies will come out) if the batteries are not 100%. a dc adapter option would have been nice.4. while the entire set is durable, the trunk is a bit suspect. made out of a plastic a bit thicker than a plastic garbage bag, it is subject to holes as it gets repeatedly crinkled during normal play. our son inexplicably took a scissors to it, but fortunately it was repairable (though we lost a bit of length.)all things considered, the game is fun and a good activity for young children. what kind of value it is for the money is debatable - a friend gave us this game, so it's a win-win for us. batteries are an issue, however, and i would seriously recommend purchasing a big set of rechargeables anyway for any parent who buys battery-reliant toys. considering how fast you'll use up batteries with elefun, you'll save money in the long run if you do so.",three year old saw present time game game large blue elephant fan base translucent plastic trunk thirty nylon several butterfly keeping score mesh catching unit quiet fan elephant base air trunk try catch family game catching excellent coordination activity game younger enough challenge play enjoy game really matter game play fun enough keep score without quickly considerably time get ready next round play actually trunk manually fan beginning play fully stay mad fan best fresh quality play quickly adapter option entire set durable trunk bit suspect plastic bit thicker plastic garbage bag subject normal play repairable lost bit game fun good activity young children kind value money debatable friend game seriously recommend purchasing big set anyway parent fast use save money long run,,,,
